Rank,Name,Team,Position,Salary
,Mattias Janmark,EDM,C,1000000
,Mike Reilly,NYI,D,1000000
,Milan Lucic,BOS,LW,1000000
,Patrick Maroon,BOS,LW,1000000
,Rasmus Kupari,WPG,C,1000000
,Samuel Blais,STL,LW,1000000
,Samuel Montembeault,MTL,G,1000000
,Scott Wedgewood,DAL,G,1000000
,Tomas Nosek,NJD,LW,1000000
539,Kurtis Macdermid,NJD,D,987500
540,Justin Danforth,CBJ,RW,975000
541,Arvid Söderblom,CHI,G,962500
542,Adam Fantilli,CBJ,C,950000
,Bradly Nadeau,CAR,LW,950000
,Connor Bedard,CHI,C,950000
,Cutter Gauthier,ANA,C,950000
,Gavin Brindley,CBJ,C,950000
,Gustav Lindstrom,ANA,D,950000
,Ivan Miroshnichenko,WAS,LW,950000
,Juraj Slafkovsky,MTL,LW,950000
,Lane Hutson,MTL,D,950000
,Leo Carlsson,ANA,C,950000
,Logan Cooley,ARI,C,950000
,Robert Bortuzzo,NYI,D,950000
,Zach Benson,BUF,LW,950000
555,Anton Lundell,FLA,C,925000
,Braden Schneider,NYR,D,925000
,Brock Faber,MIN,D,925000
,Cole Sillinger,CBJ,C,925000
,Dmitri Voronkov,CBJ,LW,925000
,Drew O'Connor,PIT,LW,925000
,Dylan Holloway,EDM,C,925000
,Jack Drury,CAR,C,925000
,Jackson Lacombe,ANA,D,925000
,Jake Sanderson,OTT,D,925000
,John Beecher,BOS,C,925000
,Joshua Mahura,FLA,D,925000
,Kent Johnson,CBJ,C,925000
,Kirill Marchenko,CBJ,LW,925000
,Lucas Raymond,DET,RW,925000
,Luke Hughes,NJD,D,925000
,Marat Khusnutdinov,MIN,C,925000
,Mason Lohrei,BOS,D,925000
,Matthew Knies,TOR,LW,925000
,Nils Lundkvist,DAL,D,925000
,Sam Colangelo,ANA,RW,925000
,Spencer Stastney,NSH,D,925000
,Vasily Podkolzin,VAN,RW,925000
578,Kevin Korchinski,CHI,D,918333
,Liam Ohgren,MIN,LW,918333
,Pavel Mintyukov,ANA,D,918333
,Simon Nemec,NJD,D,918333
582,Alex Vlasic,CHI,D,916667
,Owen Power,BUF,D,916667
,Scott Morrow,CAR,D,916667
,Thomas Bordeleau,SJS,C,916667
586,Henry Thrun,SJS,D,912500
587,Jackson Blake,CAR,RW,905833
588,Alex Lyon,DET,G,900000
,Derek Ryan,EDM,C,900000
,Emil Bemstrom,PIT,C,900000
,Matt Nieto,PIT,LW,900000
,Ty Dellandrea,DAL,C,900000
593,Matthew Beniers,SEA,C,897500
,Ryker Evans,SEA,D,897500
595,Alexander Holtz,NJD,RW,894167
,Arthur Kaliyev,LAK,RW,894167
,Cole Perfetti,WPG,C,894167
,Dawson Mercer,NJD,RW,894167
,Mason Mctavish,ANA,C,894167
,Quinton Byfield,LAK,C,894167
,Seth Jarvis,CAR,RW,894167
,Wyatt Johnston,DAL,C,894167
603,Cayden Primeau,MTL,G,890000
604,Janis Moser,ARI,D,886667
605,Nils Åman,VAN,C,883750
606,Vincent Iorio,WAS,D,875833
607,Alex Laferriere,LAK,RW,875000
,Cade Webber,TOR,D,875000
,David Rittich,LAK,G,875000
,Martin Jones,TOR,G,875000
611,Oliver Wahlstrom,NYI,RW,874125
612,Emil Martinsen-Lilleberg,TBL,D,870000
,Matthew Poitras,BOS,C,870000
,Uvis Balinskis,FLA,D,870000
615,Connor McMichael,WAS,C,863333
,Connor Zary,CGY,C,863333
,Hendrix Lapierre,WAS,C,863333
,Jack Quinn,BUF,RW,863333
,Kaiden Guhle,MTL,D,863333
,Marco Rossi,MIN,C,863333
,Moritz Seider,DET,D,863333
,Nolan Foote,NJD,LW,863333
,Peyton Krebs,BUF,C,863333
,Ridly Greig,OTT,LW,863333
,Simon Holmstrom,NYI,RW,863333
,Thomas Harley,DAL,D,863333
,Tyson Foerster,PHI,C,863333
,William Eklund,SJS,LW,863333
629,Samuel Ersson,PHI,G,859167
,Tye Kartye,SEA,LW,859167
631,John-Jason Peterka,BUF,C,855833
632,Ruslan Iskhakov,NYI,C,855000
633,Ben Hutton,VGK,D,850000
,Denis Gurianov,PHI,RW,850000
,Jansen Harkins,PIT,C,850000
,Sam Carrick,EDM,C,850000
,Sam Steel,DAL,C,850000
,Urho Vaakanainen,ANA,D,850000
,Zach Bogosian,MIN,D,850000
640,Olen Zellweger,ANA,D,844167
641,Angus Crookshank,OTT,LW,838333
642,Ukko-Pekka Luukkonen,BUF,G,837500
643,Jake Neighbours,STL,LW,835833
644,Mark Kastelic,OTT,C,835000
645,Arber Xhekaj,MTL,D,828333
,Will Cuylle,NYR,LW,828333
647,Alexander Alexeyev,WAS,D,825000
,Andrew Cogliano,COL,LW,825000
,Calen Addison,SJS,D,825000
,Dakota Joshua,VAN,C,825000
,Erik Gustafsson,NYR,D,825000
,Joe Veleno,DET,C,825000
,Jonathan Drouin,COL,LW,825000
,Jonathan Quick,NYR,G,825000
,Pavel Dorofeyev,VGK,LW,825000
,Pierre-Olivier Joseph,PIT,D,825000
,Sebastian Aho,NYI,D,825000
,Walker Duehr,CGY,RW,825000
,Zach Parise,COL,LW,825000
660,Jordan Spence,LAK,D,820000
,Matthew Rempe,NYR,C,820000
662,Nikita Alexandrov,STL,C,816667
663,Logan Stankoven,DAL,C,814167
664,Lukas Dostal,ANA,G,812500
,Michael Pezzetta,MTL,C,812500
,Zachary Jones,NYR,D,812500
667,Jonah Gadjovich,FLA,LW,810000
668,Jacob Bernard-Docker,OTT,D,805000
669,Blake Wheeler,NYR,RW,800000
,Brendan Lemieux,CAR,LW,800000
,Cal Foote,NJD,D,800000
,Cale Fleury,SEA,D,800000
,Chad Ruhwedel,NYR,D,800000
,Connor Dewar,TOR,C,800000
,Givani Smith,SJS,RW,800000
,Jesse Puljujarvi,PIT,RW,800000
,Jimmy Vesey,NYR,LW,800000
,Joseph Anderson,CHI,RW,800000
,Kyle MacLean,NYI,LW,800000
,Luke Glendening,TBL,C,800000
,Mackenzie Entwistle,CHI,RW,800000
